player_id,nick,discord_nick,tier,tier_channel,tier_updated_at,matches,wins,losses,draws,win_rate,expected_wins,actual_wins,delta,per_100,luck_1_in,label,recommendation,decided,stack_wins,stack_losses,underdog_wins,underdog_losses,upset_wins,upset_losses,utro,utro_percentile,kdr,exact_tiers,crosschannel_tiers,imputed_tiers,override_tiers
55e2623b-eccc-5f23-9126-2eee84a70cb2,ddd331,ddd331,A,ET:Legacy Events: #3vs3,2026-09-18,226,108,115,7,0.4843,120.34,108,-12.34,-5.7,22,UNDER,CONSIDER MOVING DOWN: A → B,218,67,45,16,33,16,45,1.209036,92.5925925925926,1.313374897070933,13,20,185,1138
104ab2de-0e4f-5176-b2f3-3a2116e193db,mayan,mayan,A,ET:Legacy Events: #3vs3,2026-09-18,56,29,26,1,0.5273,27.16,29,1.84,3.3,3,ON TIER,KEEP at A,55,10,5,9,13,9,5,1.0048782,63.42592592592593,0.8788348311124884,6,0,27,303
4e73f78e-2696-58de-b5db-d5dd01756c4c,Valar,Valar,A,ET:Legacy Events: #3vs3,2026-09-18,11,6,4,1,0.6000,5.10,6,0.90,9.0,3,ON TIER,KEEP at A,10,3,1,1,2,1,1,0.97209734,53.24074074074075,1.0069444444444444,3,4,5,54
6d34830a-6e96-58ef-a69d-c33202a01ee1,blade,Bl4d3,A,ET:Legacy Events: #3vs3,2026-09-18,3,0,3,0,0.0000,0.94,0,-0.94,-31.5,4,ON TIER,KEEP at A,3,0,1,0,2,0,1,1.0424646,73.14814814814815,0.7355371900826446,0,0,2,16
f9022eb3-7030-566f-9535-fdc94a8fd590,Bonjwa,Cupra,A,ET:Legacy Events: #3vs3,2026-09-18,22,12,8,2,0.6000,8.34,13,4.66,25.9,46,OVER,CONSIDER MOVING UP: A → E,18,3,0,4,4,4,0,0.96774906,55.092592592592595,0.9674465920651069,5,0,12,109
ab210a6f-9666-52bc-a032-cb23368af94f,semik,semik,A,ET:Legacy Events: #3vs3,2026-09-18,170,104,74,1,0.5843,89.11,100,10.89,6.5,22,OVER,CONSIDER MOVING UP: A → E,167,55,18,27,24,27,18,1.1124408,84.25925925925925,1.089396231605006,11,24,105,874
d7401853-4d9e-58ac-bebd-286adc564c92,mental,mental,A,ET:Legacy Events: #3vs3,2026-09-18,82,48,34,1,0.5854,37.64,48,10.36,12.9,90,OVER,CONSIDER MOVING UP: A → E,80,18,5,18,21,18,5,1.0963887,80.0925925925926,0.9899396378269618,13,7,22,450
fb8bda08-bace-5c27-b9d7-efbab9694933,czkk_,czkk_,A,ET:Legacy Events: #3vs3,2026-09-18,147,70,74,3,0.4861,61.35,69,7.65,5.5,10,ON TIER,KEEP at A,139,30,11,29,45,29,11,1.0399556,71.75925925925925,1.0416604671923821,76,91,59,626
467be8ad-2f65-59bc-b65f-eab681c05782,operaattori,late,A,ET:Legacy Events: #3vs3,2026-09-18,131,60,65,7,0.4800,60.60,60,-0.60,-0.5,2,ON TIER,KEEP at A,123,22,19,19,28,19,19,1.0092884,64.35185185185185,0.9324561403508772,10,25,78,667
b04c4850-29c9-52a9-babe-f1feadbeb206,Oksii,Oksii,A,ET:Legacy Events: #3vs3,2026-09-18,0,0,0,0,0.0000,0.00,0,0.00,0.0,1,ON TIER,KEEP at A,0,0,0,0,0,0,0,0.9984517,62.5,0,0,0,0,0
c901ff98-5308-5356-b036-98937d6fb54c,carnage,carnage,A,ET:Legacy Events: #3vs3,2026-09-18,19,7,11,0,0.3889,9.40,8,-1.40,-7.4,3,ON TIER,KEEP at A,19,1,4,3,4,3,4,1.060394,75.92592592592592,1.1173708920187793,0,3,5,106
c7d554d2-edfc-5b1b-96b3-c14e1ec0b4b5,snjh,snjh,A,ET:Legacy Events: #3vs3,2026-09-18,116,49,63,4,0.4375,53.05,49,-4.05,-3.6,4,ON TIER,KEEP at A,111,23,15,14,31,14,15,1.1046121,82.87037037037037,1.149476831091181,8,15,133,540
9e4589e9-4306-5c19-a95e-c16ac933edbc,squAze,squAze,A,ET:Legacy Events: #3vs3,2026-09-18,45,18,25,2,0.4186,21.55,18,-3.55,-8.4,6,ON TIER,KEEP at A,42,12,6,3,12,3,6,1.1219826,85.64814814814815,1.2427843803056027,6,1,21,236
553dd54c-4b18-50a3-a387-10adbce6ed80,FiREBALL,FiREBALL,A,ET:Legacy Events: #3vs3,2026-09-18,10,4,6,0,0.4000,4.00,4,0.00,0.0,2,ON TIER,KEEP at A,10,1,0,2,4,2,0,1.0935152,84.72222222222221,1.1902654867256637,7,4,3,46
